,model,type,var,importance
113,model_0_1,nested_full,cat114,2740
114,model_0_1,nested_full,cat115,4944
115,model_0_1,nested_full,cat116,16502
116,model_0_1,nested_full,cont1,8638
117,model_0_1,nested_full,cont2,8514
118,model_0_1,nested_full,cont3,7458
119,model_0_1,nested_full,cont4,6705
120,model_0_1,nested_full,cont5,7592
121,model_0_1,nested_full,cont6,8711
122,model_0_1,nested_full,cont7,12768
123,model_0_1,nested_full,cont8,8113
124,model_0_1,nested_full,cont9,7075
125,model_0_1,nested_full,cont10,6885
126,model_0_1,nested_full,cont11,7105
127,model_0_1,nested_full,cont12,6194
128,model_0_1,nested_full,cont13,8491
129,model_0_1,nested_full,cont14,16426
0,model_0_2,nested_full,cat1,1103
1,model_0_2,nested_full,cat2,944
2,model_0_2,nested_full,cat3,540
3,model_0_2,nested_full,cat4,1078
4,model_0_2,nested_full,cat5,1046
5,model_0_2,nested_full,cat6,754
6,model_0_2,nested_full,cat7,410
7,model_0_2,nested_full,cat8,560
8,model_0_2,nested_full,cat9,999
9,model_0_2,nested_full,cat10,782
10,model_0_2,nested_full,cat11,693
11,model_0_2,nested_full,cat12,878
12,model_0_2,nested_full,cat13,783
13,model_0_2,nested_full,cat14,123
14,model_0_2,nested_full,cat15,0
15,model_0_2,nested_full,cat16,425
16,model_0_2,nested_full,cat17,167
17,model_0_2,nested_full,cat18,94
18,model_0_2,nested_full,cat19,143
19,model_0_2,nested_full,cat20,8
20,model_0_2,nested_full,cat21,148
21,model_0_2,nested_full,cat22,42
22,model_0_2,nested_full,cat23,801
23,model_0_2,nested_full,cat24,359
24,model_0_2,nested_full,cat25,748
25,model_0_2,nested_full,cat26,614
26,model_0_2,nested_full,cat27,723
27,model_0_2,nested_full,cat28,432
28,model_0_2,nested_full,cat29,313
29,model_0_2,nested_full,cat30,258
30,model_0_2,nested_full,cat31,381
31,model_0_2,nested_full,cat32,92
32,model_0_2,nested_full,cat33,67
33,model_0_2,nested_full,cat34,31
34,model_0_2,nested_full,cat35,19
35,model_0_2,nested_full,cat36,1006
36,model_0_2,nested_full,cat37,745
37,model_0_2,nested_full,cat38,877
38,model_0_2,nested_full,cat39,467
39,model_0_2,nested_full,cat40,543
40,model_0_2,nested_full,cat41,588
41,model_0_2,nested_full,cat42,190
42,model_0_2,nested_full,cat43,343
43,model_0_2,nested_full,cat44,720
44,model_0_2,nested_full,cat45,371
45,model_0_2,nested_full,cat46,84
46,model_0_2,nested_full,cat47,29
47,model_0_2,nested_full,cat48,36
48,model_0_2,nested_full,cat49,420
49,model_0_2,nested_full,cat50,782
50,model_0_2,nested_full,cat51,102
51,model_0_2,nested_full,cat52,402
52,model_0_2,nested_full,cat53,730
53,model_0_2,nested_full,cat54,346
54,model_0_2,nested_full,cat55,32
55,model_0_2,nested_full,cat56,13
56,model_0_2,nested_full,cat57,483
57,model_0_2,nested_full,cat58,7
58,model_0_2,nested_full,cat59,19
59,model_0_2,nested_full,cat60,56
60,model_0_2,nested_full,cat61,136
61,model_0_2,nested_full,cat62,0
62,model_0_2,nested_full,cat63,7
